# specify 1 map per line, mapname|factoryid
# ex: aerowalk|ffa
# see factories.txt for valid factory id values
almostlost|iffa_jh
asylum|iffa_jh
blackcathedral|iffa_jh
campgrounds|iffa_jh
castledeathstalker|iffa_jh
deadandgone|iffa_jh
deepinside|iffa_jh
drunkenmummy|iffa_jh
henhouse|iffa_jh
hiddenfortress|iffa_jh
midlifecrisis|iffa_jh
overkill|iffa_jh
quarantine|iffa_jh
servitude|iffa_jh
spacechamber|iffa_jh
theatreofpain|iffa_jh
threestory|iffa_jh
thunderstruck|iffa_jh
trinity|iffa_jh
windowpain|iffa_jh
